Rodada,Time,Posicao,Pontos,Jogos,Vitorias,Empates,Derrotas,GP,GC,SG
24,Fortaleza,1,48,23,14,6,3,30,20,10
24,Botafogo,2,47,24,14,5,5,41,24,17
24,Palmeiras,3,44,24,13,5,6,36,19,17
24,Flamengo,4,44,23,13,5,5,38,26,12
24,São Paulo,5,41,24,12,5,7,33,24,9
24,Bahia,6,39,24,11,6,7,33,25,8
24,Cruzeiro,7,37,23,11,4,8,31,25,6
24,Atlético-MG,8,30,22,7,9,6,29,31,-2
24,Athletico-PR,9,29,21,8,5,8,25,24,1
24,Vasco,10,28,22,8,4,10,26,33,-7
24,Internacional,11,28,20,7,7,6,19,18,1
24,Juventude,12,28,23,7,7,9,28,32,-4
24,Grêmio,13,27,22,8,3,11,21,25,-4
24,Bragantino,14,27,22,7,6,9,27,28,-1
24,Criciúma,15,25,22,6,7,9,30,33,-3
24,Fluminense,16,24,23,6,6,11,18,26,-8
24,Vitória,17,22,24,6,4,14,26,38,-12
24,Corinthians,18,22,24,4,10,10,20,30,-10
24,Cuiabá,19,18,22,4,6,12,21,34,-13
24,Atlético-GO,20,18,24,4,6,14,20,37,-17
23,Botafogo,1,46,23,14,4,5,41,24,17
23,Fortaleza,2,45,22,13,6,3,29,20,9
23,Palmeiras,3,41,23,12,5,6,31,19,12
23,Flamengo,4,41,22,12,5,5,36,25,11
23,Bahia,5,38,23,11,5,7,33,25,8
23,São Paulo,6,38,23,11,5,7,31,23,8
23,Cruzeiro,7,37,22,11,4,7,31,24,7
23,Atlético-MG,8,30,21,7,9,5,29,29,0
23,Athletico-PR,9,29,21,8,5,8,25,24,1
23,Vasco,10,28,22,8,4,10,26,33,-7
23,Juventude,11,28,22,7,7,8,27,30,-3
23,Bragantino,12,27,21,7,6,8,26,26,0
23,Internacional,13,25,19,6,7,6,18,18,0
23,Criciúma,14,25,21,6,7,8,30,32,-2
23,Grêmio,15,24,21,7,3,11,20,25,-5
23,Vitória,16,22,23,6,4,13,25,36,-11
23,Corinthians,17,22,23,4,10,9,20,29,-9
23,Fluminense,18,21,22,5,6,11,16,26,-10
23,Cuiabá,19,18,21,4,6,11,21,29,-8
23,Atlético-GO,20,15,23,3,6,14,18,36,-18
22,Botafogo,1,43,22,13,4,5,37,23,14
22,Fortaleza,2,42,21,12,6,3,27,19,8
22,Flamengo,3,41,21,12,5,4,35,21,14
22,Palmeiras,4,38,22,11,5,6,29,18,11
22,São Paulo,5,38,22,11,5,6,30,21,9
22,Cruzeiro,6,36,21,11,3,7,29,22,7
22,Bahia,7,35,22,10,5,7,31,25,6
22,Athletico-PR,8,29,20,8,5,7,24,22,2
22,Atlético-MG,9,29,20,7,8,5,28,28,0
22,Vasco,10,27,21,8,3,10,24,31,-7
22,Bragantino,11,27,20,7,6,7,25,24,1
22,Internacional,12,25,18,6,7,5,18,17,1
22,Juventude,13,25,21,6,7,8,25,29,-4
22,Grêmio,14,24,20,7,3,10,20,23,-3
22,Criciúma,15,24,20,6,6,8,28,30,-2
22,Vitória,16,21,22,6,3,13,23,34,-11
22,Corinthians,17,21,22,4,9,9,20,29,-9
22,Fluminense,18,20,21,5,5,11,16,26,-10
22,Cuiabá,19,17,20,4,5,11,20,28,-8
22,Atlético-GO,20,12,22,2,6,14,17,36,-19
21,Botafogo,1,43,21,13,4,4,35,20,15
21,Flamengo,2,40,20,12,4,4,34,20,14
21,Fortaleza,3,39,20,11,6,3,26,19,7
21,Palmeiras,4,37,21,11,4,6,28,17,11
21,Cruzeiro,5,35,20,11,2,7,29,22,7
21,São Paulo,6,35,21,10,5,6,29,21,8
21,Bahia,7,32,21,9,5,7,29,25,4
21,Athletico-PR,8,28,19,8,4,7,22,20,2
21,Atlético-MG,9,28,19,7,7,5,28,28,0
21,Bragantino,10,26,19,7,5,7,24,23,1
21,Vasco,11,24,20,7,3,10,22,31,-9
21,Internacional,12,24,17,6,6,5,16,15,1
21,Criciúma,13,24,19,6,6,7,28,29,-1
21,Juventude,14,22,20,5,7,8,22,27,-5
21,Grêmio,15,21,19,6,3,10,17,22,-5
21,Vitória,16,21,21,6,3,12,23,32,-9
21,Fluminense,17,20,20,5,5,10,16,24,-8
21,Corinthians,18,20,21,4,8,9,19,28,-9
21,Cuiabá,19,17,19,4,5,10,19,25,-6
21,Atlético-GO,20,12,21,2,6,13,17,35,-18
20,Flamengo,1,40,19,12,4,3,34,19,15
20,Botafogo,2,40,20,12,4,4,31,19,12
20,Palmeiras,3,36,20,11,3,6,27,16,11
20,Fortaleza,4,36,19,10,6,3,24,18,6
20,Cruzeiro,5,35,19,11,2,6,28,20,8
20,São Paulo,6,32,20,9,5,6,28,21,7
20,Bahia,7,32,20,9,5,6,29,24,5
20,Athletico-PR,8,28,18,8,4,6,22,18,4
20,Atlético-MG,9,28,18,7,7,4,27,26,1
20,Bragantino,10,25,18,7,4,7,22,21,1
20,Vasco,11,23,19,7,2,10,20,29,-9
20,Internacional,12,23,16,6,5,5,15,14,1
20,Criciúma,13,21,18,5,6,7,26,28,-2
20,Juventude,14,21,19,5,6,8,21,26,-5
20,Corinthians,15,19,20,4,7,9,18,27,-9
20,Grêmio,16,18,18,5,3,10,15,22,-7
20,Vitória,17,18,20,5,3,12,22,32,-10
20,Cuiabá,18,17,18,4,5,9,19,24,-5
20,Fluminense,19,17,19,4,5,10,15,24,-9
20,Atlético-GO,20,12,20,2,6,12,16,31,-15
19,Botafogo,1,40,19,12,4,3,31,16,15
19,Flamengo,2,37,18,11,4,3,32,19,13
19,Palmeiras,3,36,19,11,3,5,27,14,13
19,Fortaleza,4,33,18,9,6,3,23,18,5
19,Cruzeiro,5,32,18,10,2,6,25,20,5
19,São Paulo,6,32,19,9,5,5,28,20,8
19,Bahia,7,31,19,9,4,6,28,23,5
19,Athletico-PR,8,25,17,7,4,6,20,17,3
19,Bragantino,9,25,17,7,4,6,22,20,2
19,Atlético-MG,10,25,17,6,7,4,25,25,0
19,Vasco,11,23,18,7,2,9,20,28,-8
19,Internacional,12,22,15,6,4,5,14,13,1
19,Juventude,13,21,18,5,6,7,20,24,-4
19,Corinthians,14,19,19,4,7,8,17,25,-8
19,Criciúma,15,18,17,4,6,7,24,27,-3
19,Cuiabá,16,17,17,4,5,8,18,22,-4
19,Grêmio,17,15,17,4,3,10,14,22,-8
19,Vitória,18,15,19,4,3,12,20,32,-12
19,Fluminense,19,14,18,3,5,10,14,24,-10
19,Atlético-GO,20,12,19,2,6,11,16,29,-13
18,Botafogo,1,39,18,12,3,3,29,14,15
18,Palmeiras,2,36,18,11,3,4,27,13,14
18,Flamengo,3,34,17,10,4,3,30,18,12
18,Fortaleza,4,33,18,9,6,3,23,18,5
18,São Paulo,5,31,18,9,4,5,26,18,8
18,Bahia,6,30,18,9,3,6,27,22,5
18,Cruzeiro,7,29,17,9,2,6,23,20,3
18,Athletico-PR,8,25,17,7,4,6,20,17,3
18,Bragantino,9,25,17,7,4,6,22,20,2
18,Atlético-MG,10,25,17,6,7,4,25,25,0
18,Vasco,11,23,18,7,2,9,20,28,-8
18,Internacional,12,22,15,6,4,5,14,13,1
18,Juventude,13,21,17,5,6,6,20,22,-2
18,Criciúma,14,18,17,4,6,7,24,27,-3
18,Corinthians,15,18,18,4,6,8,15,23,-8
18,Cuiabá,16,17,17,4,5,8,18,22,-4
18,Vitória,17,15,18,4,3,11,19,30,-11
18,Grêmio,18,14,16,4,2,10,12,20,-8
18,Fluminense,19,11,17,2,5,10,13,24,-11
18,Atlético-GO,20,11,18,2,5,11,15,28,-13
17,Botafogo,1,36,17,11,3,3,28,14,14
17,Palmeiras,2,33,17,10,3,4,25,13,12
17,Flamengo,3,31,16,9,4,3,28,17,11
17,São Paulo,4,30,17,9,3,5,26,18,8
17,Bahia,5,30,17,9,3,5,27,21,6
17,Fortaleza,6,30,17,8,6,3,20,17,3
17,Cruzeiro,7,29,16,9,2,5,23,18,5
17,Athletico-PR,8,25,16,7,4,5,20,16,4
17,Vasco,9,23,17,7,2,8,20,26,-6
17,Internacional,10,22,14,6,4,4,14,12,2
17,Bragantino,11,22,16,6,4,6,21,20,1
17,Atlético-MG,12,22,16,5,7,4,23,25,-2
17,Juventude,13,20,16,5,5,6,20,22,-2
17,Criciúma,14,18,16,4,6,6,23,25,-2
17,Cuiabá,15,17,16,4,5,7,18,21,-3
17,Vitória,16,15,17,4,3,10,19,28,-9
17,Corinthians,17,15,17,3,6,8,14,23,-9
17,Grêmio,18,11,15,3,2,10,10,20,-10
17,Atlético-GO,19,11,17,2,5,10,14,25,-11
17,Fluminense,20,8,16,1,5,10,12,24,-12
16,Botafogo,1,33,16,10,3,3,27,14,13
16,Palmeiras,2,33,16,10,3,3,25,12,13
16,Flamengo,3,31,16,9,4,3,28,17,11
16,Bahia,4,30,16,9,3,4,26,19,7
16,São Paulo,5,27,16,8,3,5,25,18,7
16,Fortaleza,6,27,16,7,6,3,17,16,1
16,Cruzeiro,7,26,15,8,2,5,21,17,4
16,Athletico-PR,8,25,16,7,4,5,20,16,4
16,Bragantino,9,22,15,6,4,5,20,18,2
16,Internacional,10,22,14,6,4,4,14,12,2
16,Atlético-MG,11,21,15,5,6,4,22,24,-2
16,Vasco,12,20,16,6,2,8,19,26,-7
16,Juventude,13,19,15,5,4,6,19,21,-2
16,Criciúma,14,18,15,4,6,5,22,23,-1
16,Vitória,15,15,16,4,3,9,18,25,-7
16,Cuiabá,16,14,15,3,5,7,16,20,-4
16,Corinthians,17,12,16,2,6,8,12,22,-10
16,Grêmio,18,11,14,3,2,9,10,19,-9
16,Atlético-GO,19,11,16,2,5,9,14,24,-10
16,Fluminense,20,8,16,1,5,10,12,24,-12
15,Flamengo,1,31,15,9,4,2,27,15,12
15,Botafogo,2,30,15,9,3,3,26,14,12
15,Palmeiras,3,30,15,9,3,3,22,11,11
15,São Paulo,4,27,15,8,3,4,24,16,8
15,Bahia,5,27,15,8,3,4,23,18,5
15,Athletico-PR,6,25,15,7,4,4,19,13,6
15,Fortaleza,7,24,15,6,6,3,15,15,0
15,Cruzeiro,8,23,14,7,2,5,19,17,2
15,Bragantino,9,22,15,6,4,5,20,18,2
15,Internacional,10,22,14,6,4,4,14,12,2
15,Juventude,11,19,15,5,4,6,19,21,-2
15,Atlético-MG,12,18,14,4,6,4,20,23,-3
15,Vasco,13,17,15,5,2,8,17,26,-9
15,Criciúma,14,17,14,4,5,5,21,22,-1
15,Vitória,15,15,15,4,3,8,18,24,-6
15,Cuiabá,16,14,15,3,5,7,16,20,-4
15,Corinthians,17,12,15,2,6,7,12,20,-8
15,Grêmio,18,11,13,3,2,8,10,17,-7
15,Atlético-GO,19,11,15,2,5,8,13,21,-8
15,Fluminense,20,7,15,1,4,10,11,23,-12
14,Flamengo,1,30,14,9,3,2,26,14,12
14,Botafogo,2,27,14,8,3,3,23,14,9
14,Palmeiras,3,27,14,8,3,3,20,11,9
14,Bahia,4,27,14,8,3,3,23,16,7
14,São Paulo,5,24,14,7,3,4,22,16,6
14,Athletico-PR,6,22,14,6,4,4,17,12,5
14,Bragantino,7,22,14,6,4,4,20,16,4
14,Internacional,8,22,13,6,4,3,13,10,3
14,Fortaleza,9,21,14,5,6,3,14,15,-1
14,Cruzeiro,10,20,13,6,2,5,16,17,-1
14,Atlético-MG,11,18,13,4,6,3,20,20,0
14,Criciúma,12,17,13,4,5,4,20,20,0
14,Juventude,13,16,14,4,4,6,16,21,-5
14,Vasco,14,14,14,4,2,8,15,25,-10
14,Cuiabá,15,13,14,3,4,7,15,19,-4
14,Vitória,16,12,14,3,3,8,16,23,-7
14,Corinthians,17,12,14,2,6,6,12,17,-5
14,Grêmio,18,11,12,3,2,7,10,14,-4
14,Atlético-GO,19,11,14,2,5,7,12,19,-7
14,Fluminense,20,7,14,1,4,9,11,22,-11
13,Flamengo,1,27,13,8,3,2,22,12,10
13,Palmeiras,2,26,13,8,2,3,18,9,9
13,Botafogo,3,24,13,7,3,3,21,13,8
13,Bahia,4,24,13,7,3,3,21,16,5
13,Athletico-PR,5,22,13,6,4,3,16,10,6
13,São Paulo,6,21,13,6,3,4,20,15,5
13,Internacional,7,21,12,6,3,3,12,9,3
13,Fortaleza,8,21,13,5,6,2,14,13,1
13,Cruzeiro,9,20,12,6,2,4,16,16,0
13,Bragantino,10,19,13,5,4,4,17,15,2
13,Atlético-MG,11,18,12,4,6,2,18,16,2
13,Juventude,12,16,13,4,4,5,16,19,-3
13,Criciúma,13,14,12,3,5,4,19,20,-1
13,Cuiabá,14,13,13,3,4,6,14,17,-3
13,Vitória,15,12,13,3,3,7,14,20,-6
13,Vasco,16,11,13,3,2,8,13,25,-12
13,Atlético-GO,17,11,13,2,5,6,11,16,-5
13,Grêmio,18,10,11,3,1,7,8,12,-4
13,Corinthians,19,9,13,1,6,6,9,15,-6
13,Fluminense,20,6,13,1,3,9,10,21,-11
12,Flamengo,1,24,12,7,3,2,20,11,9
12,Bahia,2,24,12,7,3,2,20,13,7
12,Botafogo,3,23,12,7,2,3,20,12,8
12,Palmeiras,4,23,12,7,2,3,16,9,7
12,Internacional,5,20,11,6,2,3,11,8,3
12,Cruzeiro,6,20,11,6,2,3,15,14,1
12,Athletico-PR,7,19,12,5,4,3,15,10,5
12,São Paulo,8,18,12,5,3,4,17,14,3
12,Bragantino,9,18,12,5,3,4,16,14,2
12,Fortaleza,10,18,12,4,6,2,12,12,0
12,Atlético-MG,11,17,11,4,5,2,17,15,2
12,Juventude,12,16,12,4,4,4,15,17,-2
12,Criciúma,13,13,11,3,4,4,18,19,-1
12,Cuiabá,14,12,12,3,3,6,13,16,-3
12,Vitória,15,12,12,3,3,6,14,19,-5
12,Vasco,16,10,12,3,1,8,12,24,-12
12,Atlético-GO,17,10,12,2,4,6,10,15,-5
12,Corinthians,18,9,12,1,6,5,9,13,-4
12,Grêmio,19,7,10,2,1,7,7,12,-5
12,Fluminense,20,6,12,1,3,8,10,20,-10
11,Flamengo,1,24,11,7,3,1,19,9,10
11,Palmeiras,2,23,11,7,2,2,16,6,10
11,Bahia,3,21,11,6,3,2,18,12,6
11,Botafogo,4,20,11,6,2,3,18,11,7
11,Internacional,5,20,10,6,2,2,10,6,4
11,Athletico-PR,6,19,11,5,4,2,15,8,7
11,Bragantino,7,18,11,5,3,3,15,12,3
11,Cruzeiro,8,17,10,5,2,3,13,14,-1
11,São Paulo,9,15,11,4,3,4,15,13,2
11,Fortaleza,10,15,11,3,6,2,9,12,-3
11,Atlético-MG,11,14,10,3,5,2,15,14,1
11,Criciúma,12,13,10,3,4,3,17,17,0
11,Juventude,13,13,11,3,4,4,13,16,-3
11,Cuiabá,14,11,11,3,2,6,12,15,-3
11,Vasco,15,10,11,3,1,7,11,22,-11
11,Atlético-GO,16,9,11,2,3,6,9,14,-5
11,Vitória,17,9,11,2,3,6,13,19,-6
11,Corinthians,18,8,11,1,5,5,8,12,-4
11,Grêmio,19,6,9,2,0,7,6,11,-5
11,Fluminense,20,6,11,1,3,7,10,19,-9
10,Flamengo,1,21,10,6,3,1,18,9,9
10,Botafogo,2,20,10,6,2,2,17,9,8
10,Palmeiras,3,20,10,6,2,2,13,5,8
10,Athletico-PR,4,18,10,5,3,2,14,7,7
10,Bahia,5,18,10,5,3,2,14,11,3
10,Internacional,6,17,9,5,2,2,9,6,3
10,Cruzeiro,7,17,9,5,2,2,12,10,2
10,São Paulo,8,15,10,4,3,3,14,9,5
10,Bragantino,9,15,10,4,3,3,13,11,2
10,Fortaleza,10,14,10,3,5,2,8,11,-3
10,Atlético-MG,11,13,9,3,4,2,14,13,1
10,Juventude,12,13,10,3,4,3,12,13,-1
10,Cuiabá,13,10,10,3,1,6,12,15,-3
10,Criciúma,14,10,9,2,4,3,15,16,-1
10,Vitória,15,9,10,2,3,5,12,17,-5
10,Atlético-GO,16,8,10,2,2,6,9,14,-5
10,Vasco,17,7,10,2,1,7,7,21,-14
10,Corinthians,18,7,10,1,4,5,7,11,-4
10,Grêmio,19,6,8,2,0,6,6,10,-4
10,Fluminense,20,6,10,1,3,6,10,18,-8
9,Botafogo,1,19,9,6,1,2,16,8,8
9,Flamengo,2,18,9,5,3,1,16,8,8
9,Bahia,3,18,9,5,3,1,13,9,4
9,Athletico-PR,4,17,9,5,2,2,13,6,7
9,Palmeiras,5,17,9,5,2,2,11,4,7
9,São Paulo,6,15,9,4,3,2,14,8,6
9,Bragantino,7,15,9,4,3,2,12,9,3
9,Internacional,8,14,8,4,2,2,8,6,2
9,Cruzeiro,9,14,8,4,2,2,10,10,0
9,Atlético-MG,10,13,8,3,4,1,12,9,3
9,Fortaleza,11,11,9,2,5,2,7,11,-4
9,Juventude,12,10,9,2,4,3,10,13,-3
9,Atlético-GO,13,8,9,2,2,5,8,12,-4
9,Cuiabá,14,7,9,2,1,6,11,15,-4
9,Vasco,15,7,9,2,1,6,7,19,-12
9,Criciúma,16,7,8,1,4,3,13,15,-2
9,Corinthians,17,7,9,1,4,4,7,10,-3
9,Grêmio,18,6,7,2,0,5,6,9,-3
9,Fluminense,19,6,9,1,3,5,10,16,-6
9,Vitória,20,6,9,1,3,5,8,15,-7
8,Flamengo,1,17,8,5,2,1,15,7,8
8,Bahia,2,17,8,5,2,1,11,7,4
8,Botafogo,3,16,8,5,1,2,14,7,7
8,Athletico-PR,4,16,8,5,1,2,12,5,7
8,São Paulo,5,14,8,4,2,2,12,6,6
8,Internacional,6,14,7,4,2,1,7,4,3
8,Palmeiras,7,14,8,4,2,2,7,4,3
8,Cruzeiro,8,13,7,4,1,2,10,10,0
8,Atlético-MG,9,13,7,3,4,0,12,5,7
8,Bragantino,10,12,8,3,3,2,10,8,2
8,Fortaleza,11,11,8,2,5,1,7,6,1
8,Juventude,12,10,8,2,4,2,9,11,-2
8,Grêmio,13,6,6,2,0,4,5,7,-2
8,Vasco,14,6,8,2,0,6,7,19,-12
8,Criciúma,15,6,7,1,3,3,11,13,-2
8,Corinthians,16,6,8,1,3,4,5,8,-3
8,Fluminense,17,6,8,1,3,4,9,14,-5
8,Atlético-GO,18,5,8,1,2,5,6,11,-5
8,Cuiabá,19,4,8,1,1,6,6,15,-9
8,Vitória,20,3,8,0,3,5,6,14,-8
7,Flamengo,1,14,7,4,2,1,13,6,7
7,Bahia,2,14,7,4,2,1,10,7,3
7,Botafogo,3,13,7,4,1,2,13,7,6
7,São Paulo,4,13,7,4,1,2,12,6,6
7,Athletico-PR,5,13,7,4,1,2,9,4,5
7,Internacional,6,13,6,4,1,1,7,4,3
7,Bragantino,7,12,7,3,3,1,9,6,3
7,Palmeiras,8,11,7,3,2,2,5,4,1
7,Fortaleza,9,11,7,2,5,0,7,5,2
7,Cruzeiro,10,10,6,3,1,2,8,9,-1
7,Atlético-MG,11,10,6,2,4,0,10,4,6
7,Juventude,12,9,7,2,3,2,8,10,-2
7,Grêmio,13,6,5,2,0,3,4,5,-1
7,Vasco,14,6,7,2,0,5,7,17,-10
7,Criciúma,15,6,6,1,3,2,10,10,0
7,Fluminense,16,6,7,1,3,3,9,13,-4
7,Corinthians,17,5,7,1,2,4,3,6,-3
7,Atlético-GO,18,4,7,1,1,5,4,9,-5
7,Cuiabá,19,4,7,1,1,5,5,13,-8
7,Vitória,20,2,7,0,2,5,5,13,-8
6,Athletico-PR,1,13,6,4,1,1,9,3,6
6,Bahia,2,13,6,4,1,1,9,6,3
6,Flamengo,3,11,6,3,2,1,7,5,2
6,Botafogo,4,10,6,3,1,2,12,7,5
6,São Paulo,5,10,6,3,1,2,10,6,4
6,Internacional,6,10,5,3,1,1,6,4,2
6,Cruzeiro,7,10,5,3,1,1,8,7,1
6,Atlético-MG,8,9,5,2,3,0,9,3,6
6,Bragantino,9,9,6,2,3,1,7,6,1
6,Palmeiras,10,8,6,2,2,2,3,3,0
6,Juventude,11,8,6,2,2,2,7,9,-2
6,Fortaleza,12,8,6,1,5,0,6,5,1
6,Grêmio,13,6,4,2,0,2,4,3,1
6,Vasco,14,6,6,2,0,4,6,11,-5
6,Criciúma,15,6,5,1,3,1,9,8,1
6,Corinthians,16,5,6,1,2,3,3,5,-2
6,Fluminense,17,5,6,1,2,3,8,12,-4
6,Cuiabá,18,4,6,1,1,4,5,12,-7
6,Vitória,19,2,6,0,2,4,5,11,-6
6,Atlético-GO,20,1,6,0,1,5,2,9,-7
5,Athletico-PR,1,10,5,3,1,1,7,3,4
5,Bahia,2,10,5,3,1,1,8,6,2
5,Botafogo,3,9,5,3,0,2,11,6,5
5,Atlético-MG,4,9,5,2,3,0,9,3,6
5,Bragantino,5,9,5,2,3,0,7,5,2
5,Palmeiras,6,8,5,2,2,1,3,1,2
5,Flamengo,7,8,5,2,2,1,5,5,0
5,Juventude,8,8,5,2,2,1,6,7,-1
5,São Paulo,9,7,5,2,1,2,8,5,3
5,Internacional,10,7,4,2,1,1,4,3,1
5,Cruzeiro,11,7,4,2,1,1,7,7,0
5,Fortaleza,12,7,5,1,4,0,5,4,1
5,Grêmio,13,6,4,2,0,2,4,3,1
5,Criciúma,14,6,4,1,3,0,7,3,4
5,Corinthians,15,5,5,1,2,2,3,3,0
5,Fluminense,16,5,5,1,2,2,7,10,-3
5,Vasco,17,3,5,1,0,4,4,10,-6
5,Vitória,18,2,5,0,2,3,4,9,-5
5,Atlético-GO,19,1,5,0,1,4,2,8,-6
5,Cuiabá,20,1,5,0,1,4,0,10,-10
4,Botafogo,1,9,4,3,0,1,10,4,6
4,Atlético-MG,2,8,4,2,2,0,7,1,6
4,Bragantino,3,8,4,2,2,0,6,4,2
4,Athletico-PR,4,7,4,2,1,1,6,3,3
4,Bahia,5,7,4,2,1,1,6,5,1
4,Internacional,6,7,4,2,1,1,4,3,1
4,Cruzeiro,7,7,4,2,1,1,7,7,0
4,Flamengo,8,7,4,2,1,1,4,4,0
4,Grêmio,9,6,4,2,0,2,4,3,1
4,Criciúma,10,6,4,1,3,0,7,3,4
4,Fortaleza,11,6,4,1,3,0,5,4,1
4,Palmeiras,12,5,4,1,2,1,1,1,0
4,Juventude,13,5,4,1,2,1,5,7,-2
4,São Paulo,14,4,4,1,1,2,5,4,1
4,Corinthians,15,4,4,1,1,2,3,3,0
4,Fluminense,16,4,4,1,1,2,5,8,-3
4,Vasco,17,3,4,1,0,3,4,9,-5
4,Vitória,18,2,4,0,2,2,3,6,-3
4,Atlético-GO,19,1,4,0,1,3,2,7,-5
4,Cuiabá,20,1,4,0,1,3,0,8,-8
3,Bragantino,1,7,3,2,1,0,5,3,2
3,Flamengo,2,7,3,2,1,0,4,2,2
3,Botafogo,3,6,3,2,0,1,8,4,4
3,Athletico-PR,4,6,3,2,0,1,5,2,3
3,Grêmio,5,6,3,2,0,1,4,2,2
3,Internacional,6,6,3,2,0,1,3,2,1
3,Atlético-MG,7,5,3,1,2,0,4,1,3
3,Fortaleza,8,5,3,1,2,0,4,3,1
3,Fluminense,9,4,3,1,1,1,5,5,0
3,Bahia,10,4,3,1,1,1,5,5,0
3,Palmeiras,11,4,3,1,1,1,1,1,0
3,Cruzeiro,12,4,3,1,1,1,4,6,-2
3,Juventude,13,4,3,1,1,1,4,6,-2
3,São Paulo,14,3,3,1,0,2,5,4,1
3,Vasco,15,3,3,1,0,2,4,5,-1
3,Criciúma,16,3,3,0,3,0,3,3,0
3,Vitória,17,2,3,0,2,1,2,3,-1
3,Corinthians,18,1,3,0,1,2,0,3,-3
3,Cuiabá,19,1,3,0,1,2,0,5,-5
3,Atlético-GO,20,0,3,0,0,3,1,6,-5
2,Flamengo,1,6,2,2,0,0,4,2,2
2,Internacional,2,6,2,2,0,0,3,1,2
2,Juventude,3,4,2,1,1,0,3,1,2
2,Cruzeiro,4,4,2,1,1,0,4,3,1
2,Bragantino,5,4,2,1,1,0,4,3,1
2,Fortaleza,6,4,2,1,1,0,3,2,1
2,Athletico-PR,7,3,2,1,0,1,4,2,2
2,Grêmio,8,3,2,1,0,1,3,2,1
2,Vasco,9,3,2,1,0,1,3,3,0
2,Botafogo,10,3,2,1,0,1,3,3,0
2,Bahia,11,3,2,1,0,1,3,3,0
2,Palmeiras,12,3,2,1,0,1,1,1,0
2,Criciúma,13,2,2,0,2,0,2,2,0
2,Atlético-MG,14,2,2,0,2,0,1,1,0
2,Fluminense,15,1,2,0,1,1,3,4,-1
2,Vitória,16,1,2,0,1,1,0,1,-1
2,Corinthians,17,1,2,0,1,1,0,2,-2
2,Cuiabá,18,1,2,0,1,1,0,4,-4
2,São Paulo,19,0,2,0,0,2,2,4,-2
2,Atlético-GO,20,0,2,0,0,2,1,3,-2
1,Athletico-PR,1,3,1,1,0,0,4,0,4
1,Cruzeiro,2,3,1,1,0,0,3,2,1
1,Internacional,3,3,1,1,0,0,2,1,1
1,Vasco,4,3,1,1,0,0,2,1,1
1,Flamengo,5,3,1,1,0,0,2,1,1
1,Fortaleza,6,3,1,1,0,0,2,1,1
1,Palmeiras,7,3,1,1,0,0,1,0,1
1,Fluminense,8,1,1,0,1,0,2,2,0
1,Bragantino,9,1,1,0,1,0,2,2,0
1,Criciúma,10,1,1,0,1,0,1,1,0
1,Juventude,11,1,1,0,1,0,1,1,0
1,Corinthians,12,1,1,0,1,0,0,0,0
1,Atlético-MG,13,1,1,0,1,0,0,0,0
1,Botafogo,14,0,1,0,0,1,2,3,-1
1,São Paulo,15,0,1,0,0,1,1,2,-1
1,Atlético-GO,16,0,1,0,0,1,1,2,-1
1,Grêmio,17,0,1,0,0,1,1,2,-1
1,Bahia,18,0,1,0,0,1,1,2,-1
1,Vitória,19,0,1,0,0,1,0,1,-1
1,Cuiabá,20,0,1,0,0,1,0,4,-4
